id,duration,ip,ex1t,ex2t,A1,A2,A3,A4_1,A4_2,A4_3,A4_4,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,B1,B1a,B2,B3,B4,B5,B6,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B8_1,B8_2,B8_3,B9,B11_1,B11_2,B11_3,B11_4,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B13,B14_1,B14_2,B14_3,B14_4,B14_5,B14_6,B15_1,B15_2,B15_3,B15_4,B16,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
27686,423,Jiangxi,0,1,9,4,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,2,4,0,0,3,0,0,4,1,1,0,0,1,1,1,0,3,7,4,5,4,5,5,1,0,0,0,1,0,3,0,0,0,1,0,1,5,4,5,5,10,1,2,Jiangxi,1,2,5,4,6,1,3
27687,734,Zhejiang,1,1,9,4,3,0,1,0,0,0,0,0,1,1,1,0,2,2,3,2,3,4,5,4,3,4,0,0,3,1,0,4,3,1,1,1,1,1,1,4,7,8,5,5,4,5,4,1,0,1,1,1,0,2,3,1,2,1,1,2,4,5,4,3,9,0,1,Zhejiang,1,1,4,7,3,1,3
27688,940,Qinghai,1,0,9,4,4,1,1,0,0,0,0,0,1,0,1,0,3,3,4,3,3,4,5,4,2,3,0,0,3,1,1,4,3,1,1,1,1,1,1,7,8,6,4,4,3,5,4,1,0,0,1,1,0,2,1,2,1,3,0,2,5,5,4,4,8,1,2,Sichuan,1,2,5,4,6,2,3
27689,858,Guizhou,0,1,6,3,3,1,0,0,0,0,0,0,0,0,0,1,2,3,3,2,4,4,4,5,3,3,0,0,3,1,0,4,3,1,1,0,0,1,1,7,8,7,4,4,4,5,5,1,1,1,0,1,0,2,2,1,3,2,3,2,4,5,4,4,9,1,2,Guizhou,1,2,5,2,5,1,2
27690,553,Chongqing,0,0,7,4,4,0,0,0,1,1,1,0,0,0,0,0,3,3,4,4,3,4,4,5,3,2,0,0,3,0,0,4,3,1,1,1,0,1,1,7,6,3,4,4,5,4,2,1,1,0,0,1,0,2,1,2,3,3,1,2,2,2,3,4,7,1,2,Chongqing,0,1,5,4,4,4,2
27691,815,Beijing,0,1,6,3,3,1,0,0,0,0,0,0,0,0,1,0,2,3,3,2,3,4,4,4,3,4,0,0,2,0,0,4,6,1,0,1,1,1,1,5,7,9,5,5,5,4,4,1,1,1,1,1,0,4,0,0,1,1,1,1,5,5,5,4,9,0,2,Beijing,1,2,6,4,7,1,2
27692,568,Henan,0,1,8,3,4,1,0,0,0,0,1,0,0,0,0,0,3,3,2,2,2,4,4,4,3,4,0,0,2,0,0,4,1,1,1,1,1,0,1,9,7,10,4,4,5,5,4,1,0,0,0,1,0,2,1,0,2,3,1,1,4,5,4,5,7,0,2,Henan,0,2,4,4,3,1,3
27693,330,Shanghai,0,1,9,4,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,4,4,5,2,5,0,0,3,0,0,4,1,1,1,0,1,1,1,8,9,8,4,4,5,4,5,1,1,1,0,1,0,3,1,0,0,2,0,1,5,4,5,4,10,1,3,Shanghai,1,2,5,5,7,1,3
27694,369,Guangdong,1,1,5,2,2,1,0,0,0,0,0,0,0,1,0,0,4,4,3,2,2,4,3,2,3,4,0,0,3,1,0,4,2,1,1,0,0,0,1,8,9,8,2,1,2,4,2,0,1,1,1,0,0,1,2,1,3,2,3,2,2,1,2,1,6,0,1,Guangdong,0,1,5,4,5,4,1
27695,285,Beijing,1,0,8,2,2,0,0,0,1,0,0,0,0,0,0,1,2,3,4,2,3,4,4,5,3,4,0,0,2,1,0,4,1,1,1,0,0,0,1,8,6,2,3,2,1,4,4,0,1,1,0,0,0,1,2,1,0,3,2,2,4,3,4,3,8,0,1,Beijing,0,1,6,11,7,4,2
27696,1341,Guangxi,0,1,8,1,4,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3,3,4,3,4,2,4,0,0,3,1,1,4,2,1,0,0,1,1,1,2,6,9,4,4,4,5,3,1,0,0,0,1,0,3,3,0,2,2,1,1,5,5,5,5,10,1,1,Guangxi,0,1,5,11,5,4,3
